subj,sex.s,age.s,ethn,wc,wps,qmarks,unique,dic,sixltr,pronou,i,we,self,you,other,negate,assent,articl,preps,number,affect,posemo,posfee,optim,negemo,anx,anger,sad,cogmec,cause,insigh,discre,inhib,tentat,certai,senses,see,hear,feel,socialw,comm,othref,friend,family,humans,time,past,presen,future,space,up,down,incl,excl,motion,occup,school,job,achiev,leisur,home,sports,telev,music,money,metaph,relig,death,physca,body,sexual,eating,sleep,groom,swear,nonfl,filler,ext.s,agr.s,con.s,ems.s,ope.s,zext.j,zagr.j,zcon.j,zems.j,zope.j
7,1,18,1,2950,9.7,17.76,22.54,82.58,9.29,17.05,8.03,.98,9.02,2.61,2,2.31,2.1,4.75,10.14,1.59,3.69,1.73,.31,.24,1.97,.03,1.29,.17,7.08,1.25,1.66,1.97,.37,2.37,.88,3.05,.68,1.63,.54,8.71,1.9,5.69,.14,.07,.54,4,4.88,13.22,1.39,2.95,1.53,.34,5.56,4.37,2.27,1.53,.71,.34,.54,.98,.41,.14,.03,.41,.44,.24,.2,.03,1.53,.47,.61,.34,.07,.14,1.19,.68,3.29,3.625,3.66666666666667,3,4.125,3.6,1.36640671272899,.118204533049824,1.06645841767687,.82502825106027,1.9297537923474
9,1,18,1,1941,6.76,13.59,26.53,80.83,8.24,16.13,4.53,2.37,6.9,2.22,2.83,3.35,2.47,5.05,8.55,1.44,4.74,2.83,.21,.1,1.91,.15,1.55,0,8.19,.67,2.63,2.83,.15,2.83,.88,2.83,1.13,1.24,.15,10.61,1.39,7.99,.1,0,.93,2.63,4.07,15.77,1.39,2.99,1.44,.21,3.61,4.43,1.85,.93,.46,.15,.41,1.18,.62,.05,.41,.1,.1,.21,.1,.1,1.85,.36,.82,.41,.15,.26,1.29,1.96,2.37,3.875,3.33333333333333,2.22222222222222,2.625,4.2,.947640212138597,.402791523658385,-1.51780580231562,1.39256493664753,.126995079995658
10,1,20,5,2282,7.56,21.52,24.8,81.38,8.02,14.64,5.21,1.05,6.27,3.24,2.67,2.59,3.46,4.16,9.11,1.75,3.42,1.62,.04,.18,1.8,.18,1.27,.09,7.67,1.53,1.75,2.19,.26,1.97,1.1,1.88,.39,1.1,.26,9.99,1.45,7.06,.04,.09,1.01,3.24,3.72,11.96,.79,3.07,1.4,.22,5.48,4.03,1.62,1.49,.44,.57,.79,.74,.22,.22,.04,.26,.48,.22,.09,.13,1.88,1.23,.53,.09,.26,0,1.14,1.1,4.03,4,4.55555555555556,2.33333333333333,3.25,4.2,1.02297168497056,.808370778927777,.874459332370926,1.54524755761364,.834477736280351
11,1,20,1,1250,16.45,21.05,31.36,84.24,8.88,15.36,8.32,.56,8.88,2,1.36,1.76,1.68,3.76,10.88,1.92,4.64,1.36,.08,.32,3.28,0,2.88,.08,6.96,.8,1.6,2.64,.16,2.88,1.12,1.52,.56,.88,.08,6.72,1.04,4.16,0,.08,1.28,5.2,3.84,14.48,1.36,2.48,1.44,.32,4.48,5.04,1.36,3.2,1.44,1.12,1.44,.48,.48,0,0,0,.56,.24,.24,0,2.4,.08,1.76,.4,.32,0,2.96,.8,2,3.5,3.22222222222222,2.11111111111111,2.375,4,-.452926609606286,-1.05909401433359,-1.46032332879432,-.144241392594023,-.700668356265226
12,1,19,1,763,7.27,19.05,33.94,88.99,7.08,18.35,8.52,.52,9.04,4.06,3.41,4.06,1.05,4.72,8.65,4.85,3.54,1.7,.13,.79,1.83,0,1.05,.26,5.9,.52,.92,2.23,.39,2.23,1.57,4.33,.52,3.54,.13,13.63,4.19,8.13,0,.39,.92,3.01,7.21,13.5,.66,3.28,.92,.13,6.03,2.75,1.7,2.88,1.31,.79,1.18,.13,.13,0,0,0,1.05,0,0,0,1.31,.66,.66,.13,0,.13,1.57,.26,2.36,2.5,3.55555555555556,3.22222222222222,2.625,3.2,-1.02283032591934,-1.91807066797423,-2.36534598143923,-.184578132832086,-2.31989941083332
13,1,19,1,1681,5.7,13.56,27.42,84,7.14,18.44,7.32,1.19,8.51,3.33,3.03,2.8,2.38,3.39,9.4,3.99,3.45,2.08,.18,.54,1.37,0,1.07,0,6.13,.77,1.43,2.32,.06,2.74,1.13,1.9,.65,1.19,.06,10.23,1.43,7.79,.06,.24,.48,4.16,4.58,14.75,.89,3.45,1.67,.65,4.64,3.51,2.97,1.49,.24,.54,.77,.65,.24,.3,0,.12,.54,.42,.24,.18,1.78,.77,.89,.18,.06,.3,1.07,.95,1.01,3.125,4.77777777777778,3.66666666666667,4.125,3.2,.544653382862453,-1.13928293586833,-.8206868869217,.714129396371141,-1.08926013689974
14,1,19,2,1468,5.73,22.66,30.79,79.43,9.26,17.85,6.4,.95,7.36,3.47,3.41,1.84,2.45,3.68,8.92,1.23,5.04,2.79,.14,.54,2.25,.27,1.63,.14,8.65,1.16,3,1.7,.41,4.02,1.23,4.5,1.57,2.66,.27,13.01,3,7.97,.14,.07,1.7,3.88,5.65,13.49,1.09,2.79,1.63,.14,3,3.41,1.84,1.02,.48,.34,.41,1.5,.41,.07,.41,.61,.14,.07,.07,0,1.43,.68,.61,.14,.07,.34,1.57,.14,.48,3,3.44444444444444,2.44444444444444,2,4,.601536328367894,.650352922460568,-1.15056927942149,1.38331088399637,.771765377188033
15,1,18,1,1169,8.99,18.46,32.85,83.92,7.36,14.88,4.96,.77,5.73,4.19,1.8,2.74,2.48,5.3,6.93,1.03,5.99,2.82,.43,.09,3.17,.09,1.88,0,8.04,.86,2.14,3.08,.51,3.17,1.11,3.08,.94,.43,.43,8.81,.6,7.01,.09,0,.86,3.76,4.45,15.65,.86,3.17,1.28,.26,3.42,6.42,1.54,2.14,.77,.6,.94,.26,0,.09,0,.17,.6,.6,.51,.09,2.82,.51,.68,1.63,.09,0,2.22,0,3.59,1.25,3.55555555555556,2.77777777777778,1.625,2.5,.275495319468885,-.26060100171097,-1.87652381938257,1.37500937469343,-.420393880887921
23,1,21,1,910,9.1,41,30.11,85.71,7.91,17.14,5.93,.99,6.92,5.05,2.2,3.52,1.87,3.41,9.45,1.87,2.75,1.54,0,.33,1.21,.33,1.32,0,9.01,1.43,1.65,2.31,.66,2.64,.55,1.21,.33,.44,.11,9.78,.77,8.24,0,.11,.66,3.19,4.4,16.7,.77,3.52,1.32,.66,5.82,5.16,2.09,1.87,.66,.77,.66,1.87,.88,.77,.11,.11,.77,.44,.44,0,1.1,.22,.55,.55,0,0,.88,.44,1.32,4.125,3,2.88888888888889,4,3.9,.577751681602816,-1.72932072217978,-.962839812073533,.500243050891743,-.51802341180312
24,1,18,4,161,6.19,15.38,58.39,88.82,9.94,21.12,9.94,.62,10.56,5.59,2.48,2.48,6.83,1.86,9.32,0,3.73,2.48,.62,0,1.24,0,0,0,7.45,2.48,2.48,2.48,0,1.24,.62,1.86,1.24,.62,0,11.18,1.86,8.7,0,.62,0,2.48,4.35,19.25,0,4.35,1.86,0,5.59,3.73,1.86,1.86,1.86,0,0,2.48,1.24,.62,0,.62,0,0,0,0,.62,0,.62,0,0,0,0,0,3.11,2.375,4.77777777777778,3.33333333333333,2.75,3.8,-1.97156177970914,.382508204059869,1.02710028486886,-.654681428527477,-.0244934557249106
