	Unnamed: 0	scene_id	raw_text	characters	cOPN	dialog_state	sent	utterance	context	labels	Uttr_EmoBERTa_label	Dialog_EmoBERTa_label
0	0	01_e12_c08(0) 	"[['Monica Geller', ' Well, what happened?'], ['Phoebe Buffay', "" Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.)""], ['Chandler, Joey, Ross', ' Ooooohh!'], ['Ross Geller', ' My God.'], ['Monica Geller', ' Are you sure?'], ['Phoebe Buffay', "" Oh yeah, I'm sure. (Flashback resumes with Phoebe doing a voiceover.) And all of a sudden his hands weren't the problem anymore. (Flashback continues: Paolo rolls over, Phoebe looks down, then quickly looks up, bites lip, shakes her head)""], ['Monica Geller', ' Was it...?'], ['Phoebe Buffay', ' Oh, boy scouts could have camped under there.'], ['Guys', ' Oooooo....'], ['Rachel Green', ' ""Ooo,"" what?'], ['Phoebe Buffay', ' Uma Thurman.']]"	Phoebe Buffay	True	[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1]	" Well, what happened? Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.) Ooooohh! My God. Are you sure? Oh yeah, I'm sure. (Flashback resumes with Phoebe doing a voiceover.) And all of a sudden his hands weren't the problem anymore. (Flashback continues: Paolo rolls over, Phoebe looks down, then quickly looks up, bites lip, shakes her head) Was it...? Oh, boy scouts could have camped under there. Oooooo.... ""Ooo,"" what? Uma Thurman."	  Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.)  Oh yeah, I'm sure. (Flashback resumes with Phoebe doing a voiceover.) And all of a sudden his hands weren't the problem anymore. (Flashback continues: Paolo rolls over, Phoebe looks down, then quickly looks up, bites lip, shakes her head)  Oh, boy scouts could have camped under there.  Uma Thurman.	"  Well, what happened?  Ooooohh!  My God.  Are you sure?  Was it...?  Oooooo....  ""Ooo,"" what?"	1	joy	['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']
1	1	03_e24_c04(0) 	"[['Monica', ' (to Chandler) Anything but stew.'], ['Ross', "" All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him.""], ['Joey', "" Yeah, or you can teach him a lesson. Y'know? What you could do is you could rub something that really smells on your butt, all right? Then, when he goes to smack ya, his hand will smell. (thinking aloud) Now what could you rub on your butt that would smell bad?""], ['Chandler', ' (to Ross and Monica) What if Joey were president?'], ['Phoebe', ' Umm, hey Rach, can I ask you something?'], ['Rachel', ' Yeah.'], ['Phoebe', ' Okay, you can totally say no, but umm, would it be okay with you if I set Ross up on a date?'], ['Rachel', ' Oh, ah with who?']]"	Rachel	True	[0, 0, 0, 0, 0, 1, 0, 1]	 (to Chandler) Anything but stew. All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him. Yeah, or you can teach him a lesson. Y'know? What you could do is you could rub something that really smells on your butt, all right? Then, when he goes to smack ya, his hand will smell. (thinking aloud) Now what could you rub on your butt that would smell bad? (to Ross and Monica) What if Joey were president? Umm, hey Rach, can I ask you something? Yeah. Okay, you can totally say no, but umm, would it be okay with you if I set Ross up on a date? Oh, ah with who?	  Yeah.  Oh, ah with who?	  (to Chandler) Anything but stew.  All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him.  Yeah, or you can teach him a lesson. Y'know? What you could do is you could rub something that really smells on your butt, all right? Then, when he goes to smack ya, his hand will smell. (thinking aloud) Now what could you rub on your butt that would smell bad?  (to Ross and Monica) What if Joey were president?  Umm, hey Rach, can I ask you something?  Okay, you can totally say no, but umm, would it be okay with you if I set Ross up on a date?	1	joy	['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral']
2	2	02_e19_c06(0) 	"[['Eddie', ' Hey pal.'], ['Chandler Bing', "" Ahhhh-gaaaahhh. Eddie what're you still doin' here?""], ['Eddie', "" Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic!""], ['Chandler Bing', "" Look Eddie, aren't you forgetting anything?""], ['Eddie', "" Oh yeah, that's right, look I got us a new goldfish. He's a lot fiestier that the last one.""], ['Chandler Bing', "" Maybe 'cause the last one was made by Pepperidge Farm. Look Eddie, isn't there something else you're supposed to be doing right now?""]]"	Eddie	True	[1, 0, 1, 0, 1, 0]	 Hey pal. Ahhhh-gaaaahhh. Eddie what're you still doin' here? Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic! Look Eddie, aren't you forgetting anything? Oh yeah, that's right, look I got us a new goldfish. He's a lot fiestier that the last one. Maybe 'cause the last one was made by Pepperidge Farm. Look Eddie, isn't there something else you're supposed to be doing right now?	  Hey pal.  Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic!  Oh yeah, that's right, look I got us a new goldfish. He's a lot fiestier that the last one.	  Ahhhh-gaaaahhh. Eddie what're you still doin' here?  Look Eddie, aren't you forgetting anything?  Maybe 'cause the last one was made by Pepperidge Farm. Look Eddie, isn't there something else you're supposed to be doing right now?	1	joy	['joy', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']
3	3	02_e12_c05(0) 	"[['Chandler Bing', "" Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore.""], ['Rachel Green', ' Oh my God.'], ['Monica Geller', "" Ah, and I mean, he's going out with her? He can not persue this.""], ['Chandler Bing', "" Hey, just because this woman thinks she can actually see Joey through the magical box in her living room doesn't mean she's not a person. I mean, does she not deserve happiness, does she not deserve love? What're you lookin' at me for? He's the one who wants to boff the maniac.""], ['Rob', ' You OK?'], ['Phoebe Buffay', "" No, uh-uh, I'm just, I'm nervous. So, you know what, maybe if I just, if I picture them all in their underwear.""], ['Rob', "" That's not a good idea, that's kinda the reason the last guy got fired.""]]"	Phoebe Buffay	True	[0, 0, 0, 0, 0, 1, 0]	 Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore. Oh my God. Ah, and I mean, he's going out with her? He can not persue this. Hey, just because this woman thinks she can actually see Joey through the magical box in her living room doesn't mean she's not a person. I mean, does she not deserve happiness, does she not deserve love? What're you lookin' at me for? He's the one who wants to boff the maniac. You OK? No, uh-uh, I'm just, I'm nervous. So, you know what, maybe if I just, if I picture them all in their underwear. That's not a good idea, that's kinda the reason the last guy got fired.	  No, uh-uh, I'm just, I'm nervous. So, you know what, maybe if I just, if I picture them all in their underwear.	  Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore.  Oh my God.  Ah, and I mean, he's going out with her? He can not persue this.  Hey, just because this woman thinks she can actually see Joey through the magical box in her living room doesn't mean she's not a person. I mean, does she not deserve happiness, does she not deserve love? What're you lookin' at me for? He's the one who wants to boff the maniac.  You OK?  That's not a good idea, that's kinda the reason the last guy got fired.	1	anger	['neutral', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral']
4	4	02_e22_c03(1) 	"[['Joey Tribbiani', "" Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed.""], ['Mr. Green', "" Alright, that sounds like a two person job. [they walk into Rachel's bedroom]""], ['Mrs. Green', ' Well, my goodness, what was that?'], ['Monica Geller', "" Sandra, I am so sorry, I thought you were Rachel and we just weren't ready for you yet.""], ['Mrs. Green', ' You thought I was Rachel?'], ['Chandler Bing', ' Yes because uh, you look so young.'], ['Phoebe Buffay', "" And because you're both, you know, white women.""], ['Mrs. Green', ' Oh, I missed you kids. Well, should I put my coat in the bedroom?'], ['Chandler Bing', "" NO! No, I'll take that for ya.""], ['Mrs. Green', ' Oh well thank you. Such a gentleman. Thank you. [Chandler takes the hot pink coat and grimaces at it] Ahh, it all looks so nice, so festive, all the balloons... [Chandler, remembering that Joey and Mr. Greene are in the bedroom, throws her coat in a cupboard] The funniest thing happened to me on the way here. I was...[Joey peeks out]'], ['Phoebe Buffay', "" [cutting Mrs. Greene off] Ha-ha, that's great, ha-ha. I can't wait to hear the rest of it, ya know, but I really have to go to the bathroom so... Hey, come with me. Yeah, yeah, it'll be like we're gal pals, ya know, like at a restraunt. Oh, it'll be fun, c'mon. [they go in the bathroom]""], ['Monica Geller', ' Oh my God, oh my God, oh my God.'], ['Chandler Bing', ' Ok, think, what would Jack and Chrissy do?'], ['Joey Tribbiani', ' [peeks back out] Ok, now that your coat is safely in the bedr-, [sees that the coast is clear] oh, ok we can come back out in the living room.'], ['Monica Geller', "" So uh, Joey and Chanlder, I, I think it's time that you take Dr. Greene over to your place.""]]"	Chandler Bing	False	[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	 Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed. Alright, that sounds like a two person job. [they walk into Rachel's bedroom] Well, my goodness, what was that? Sandra, I am so sorry, I thought you were Rachel and we just weren't ready for you yet. You thought I was Rachel? Yes because uh, you look so young. And because you're both, you know, white women. Oh, I missed you kids. Well, should I put my coat in the bedroom? NO! No, I'll take that for ya. Oh well thank you. Such a gentleman. Thank you. [Chandler takes the hot pink coat and grimaces at it] Ahh, it all looks so nice, so festive, all the balloons... [Chandler, remembering that Joey and Mr. Greene are in the bedroom, throws her coat in a cupboard] The funniest thing happened to me on the way here. I was...[Joey peeks out] [cutting Mrs. Greene off] Ha-ha, that's great, ha-ha. I can't wait to hear the rest of it, ya know, but I really have to go to the bathroom so... Hey, come with me. Yeah, yeah, it'll be like we're gal pals, ya know, like at a restraunt. Oh, it'll be fun, c'mon. [they go in the bathroom] Oh my God, oh my God, oh my God. Ok, think, what would Jack and Chrissy do? [peeks back out] Ok, now that your coat is safely in the bedr-, [sees that the coast is clear] oh, ok we can come back out in the living room. So uh, Joey and Chanlder, I, I think it's time that you take Dr. Greene over to your place.	  Yes because uh, you look so young.  NO! No, I'll take that for ya.  Ok, think, what would Jack and Chrissy do?	  Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed.  Alright, that sounds like a two person job. [they walk into Rachel's bedroom]  Well, my goodness, what was that?  Sandra, I am so sorry, I thought you were Rachel and we just weren't ready for you yet.  You thought I was Rachel?  And because you're both, you know, white women.  Oh, I missed you kids. Well, should I put my coat in the bedroom?  Oh well thank you. Such a gentleman. Thank you. [Chandler takes the hot pink coat and grimaces at it] Ahh, it all looks so nice, so festive, all the balloons... [Chandler, remembering that Joey and Mr. Greene are in the bedroom, throws her coat in a cupboard] The funniest thing happened to me on the way here. I was...[Joey peeks out]  [cutting Mrs. Greene off] Ha-ha, that's great, ha-ha. I can't wait to hear the rest of it, ya know, but I really have to go to the bathroom so... Hey, come with me. Yeah, yeah, it'll be like we're gal pals, ya know, like at a restraunt. Oh, it'll be fun, c'mon. [they go in the bathroom]  Oh my God, oh my God, oh my God.  [peeks back out] Ok, now that your coat is safely in the bedr-, [sees that the coast is clear] oh, ok we can come back out in the living room.  So uh, Joey and Chanlder, I, I think it's time that you take Dr. Greene over to your place.	0	anger	['neutral', 'neutral', 'neutral', 'joy', 'joy', 'neutral', 'neutral', 'neutral', 'anger', 'neutral', 'neutral', 'neutral', 'neutral', 'anger', 'neutral']
5	5	04_e02_c03(0) 	"[['Phoebe', ' Oh my God, you guys are selling the entertainment center?'], ['Rachel', ' Why? I love that thing.'], ['Chandler', ' You want it?'], ['Phoebe, Rachel', ' Oh no.'], ['Chandler', ' Ahh, Gepeto, $5,000 dollars? Are you insane?'], ['Joey', ' Hey, the ad alone cost 300 bucks!'], ['Chandler', "" All right look, I'm changing it to 50 bucks, or your best offer.""], ['Joey', ' What kind of profit is that?! And you call yourself an accountant.'], ['Chandler', ' (looks at him) Nooo.'], ['Joey', ' Oh. What do you do?']]"	Joey	True	[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]	 Oh my God, you guys are selling the entertainment center? Why? I love that thing. You want it? Oh no. Ahh, Gepeto, $5,000 dollars? Are you insane? Hey, the ad alone cost 300 bucks! All right look, I'm changing it to 50 bucks, or your best offer. What kind of profit is that?! And you call yourself an accountant. (looks at him) Nooo. Oh. What do you do?	  Hey, the ad alone cost 300 bucks!  What kind of profit is that?! And you call yourself an accountant.  Oh. What do you do?	  Oh my God, you guys are selling the entertainment center?  Why? I love that thing.  You want it?  Oh no.  Ahh, Gepeto, $5,000 dollars? Are you insane?  All right look, I'm changing it to 50 bucks, or your best offer.  (looks at him) Nooo.	1	anger	['neutral', 'joy', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'joy']
6	6	04_e24_c19(0) 	"[['Phoebe', "" Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own.""], ['Mrs. Waltham', ' Oh my God, Phoebe.'], ['Phoebe', ' No, not Phoebe, Dr. Philange. Oh no! You have it too!'], ['Phoebe', ' Hello? What kind of bitch hangs up on a doctor!'], ['Chandler', ' Hey.'], ['Monica', ' Hey.'], ['Chandler', "" Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship.""], ['Monica', ' I know. How could we have let this happen?'], ['Chandler', ' Seven times!'], ['Monica', "" Ugh! Well, y'know, we were away...""], ['Chandler', ' In a foreign, romantic country...'], ['Monica', ' I blame London.'], ['Chandler', ' Bad London! (Takes a spoon and smacks the turkey.)'], ['Monica', "" So look umm, while we're st-still in London, I mean, we can keep doing it right?""], ['Chandler', "" Well, I don't see that we have a choice. But, when we're back home, we don't do it.""], ['Monica', ' Only here.'], ['Chandler', "" Y'know, I saw a wine cellar downstairs...""], ['Monica', "" I'll meet you there in two minutes.""], ['Chandler', ' Okay!'], ['Rachel', ' Mon, honey, I gotta ask you something.'], ['Monica', ' (impatiently) Now?'], ['Rachel', "" Ross said my name up there, I mean, come on, I just can't pretend that didn't happen can I?""], ['Monica', "" Oh, I-I don't know.""], ['Rachel', ' Monica, what should I do?'], ['Monica', ' Just uh, do the right thing. (Uses some breath spray)'], ['Rachel', ' What?'], ['Monica', ' Toe the line. Thread the needle. Think outside the box! (Tries to leave, but is stopped by Rachel.)'], ['Rachel', "" Whoa, wait, listen, I think I'm just gonna talk to Ross about what he think it meant.""], ['Monica', "" Wait. Rachel, no, he's married. Married! If you don't realise that, I can't help you.""]]"	Monica	True	[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]	 Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own. Oh my God, Phoebe. No, not Phoebe, Dr. Philange. Oh no! You have it too! Hello? What kind of bitch hangs up on a doctor! Hey. Hey. Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship. I know. How could we have let this happen? Seven times! Ugh! Well, y'know, we were away... In a foreign, romantic country... I blame London. Bad London! (Takes a spoon and smacks the turkey.) So look umm, while we're st-still in London, I mean, we can keep doing it right? Well, I don't see that we have a choice. But, when we're back home, we don't do it. Only here. Y'know, I saw a wine cellar downstairs... I'll meet you there in two minutes. Okay! Mon, honey, I gotta ask you something. (impatiently) Now? Ross said my name up there, I mean, come on, I just can't pretend that didn't happen can I? Oh, I-I don't know. Monica, what should I do? Just uh, do the right thing. (Uses some breath spray) What? Toe the line. Thread the needle. Think outside the box! (Tries to leave, but is stopped by Rachel.) Whoa, wait, listen, I think I'm just gonna talk to Ross about what he think it meant. Wait. Rachel, no, he's married. Married! If you don't realise that, I can't help you.	  Hey.  I know. How could we have let this happen?  Ugh! Well, y'know, we were away...  I blame London.  So look umm, while we're st-still in London, I mean, we can keep doing it right?  Only here.  I'll meet you there in two minutes.  (impatiently) Now?  Oh, I-I don't know.  Just uh, do the right thing. (Uses some breath spray)  Toe the line. Thread the needle. Think outside the box! (Tries to leave, but is stopped by Rachel.)  Wait. Rachel, no, he's married. Married! If you don't realise that, I can't help you.	  Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own.  Oh my God, Phoebe.  No, not Phoebe, Dr. Philange. Oh no! You have it too!  Hello? What kind of bitch hangs up on a doctor!  Hey.  Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship.  Seven times!  In a foreign, romantic country...  Bad London! (Takes a spoon and smacks the turkey.)  Well, I don't see that we have a choice. But, when we're back home, we don't do it.  Y'know, I saw a wine cellar downstairs...  Okay!  Mon, honey, I gotta ask you something.  Ross said my name up there, I mean, come on, I just can't pretend that didn't happen can I?  Monica, what should I do?  What?  Whoa, wait, listen, I think I'm just gonna talk to Ross about what he think it meant.	1	neutral	['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'anger', 'neutral', 'joy', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'joy', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']
7	7	01_e04_c10(0) 	"[['Rachel Green', "" I'm so sorry, you guys. I didn't mean to bring you down.""], ['Monica Geller', "" No, you were right. I don't have a plan. (There's a knock on the door.)""], ['Pizza Guy', ' (yelling from outside) Pizza guy!'], ['Rachel Green', ' Thank God. Food. (She goes to answer the door.)'], ['Monica Geller', ' Phoebe?'], ['Phoebe Buffay', ' What?'], ['Monica Geller', ' Do you have a plan?'], ['Phoebe Buffay', "" I don't even have a 'pl'.""]]"	Phoebe Buffay	True	[0, 0, 0, 0, 0, 1, 0, 1]	 I'm so sorry, you guys. I didn't mean to bring you down. No, you were right. I don't have a plan. (There's a knock on the door.) (yelling from outside) Pizza guy! Thank God. Food. (She goes to answer the door.) Phoebe? What? Do you have a plan? I don't even have a 'pl'.	  What?  I don't even have a 'pl'.	  I'm so sorry, you guys. I didn't mean to bring you down.  No, you were right. I don't have a plan. (There's a knock on the door.)  (yelling from outside) Pizza guy!  Thank God. Food. (She goes to answer the door.)  Phoebe?  Do you have a plan?	1	neutral	['neutral', 'neutral', 'neutral', 'neutral', 'anger', 'neutral', 'joy', 'neutral']
8	8	03_e04_c04(0) 	"[['Phoebe', "" Oh, it's your audition from this morning. Can I use the phone again?""], ['Rachel', "" Sure Pheebs, you know, that's what it's there for, emergencies and pretend agents.""], ['Joey', ' Come on baby, come on!'], ['Phoebe', "" (on phone, in 'Katelynn's' voice) 'Hi, I have Phoebe Buffay returning a page. Okay, well, um, she's in her car I'll have to patch you through.'""], ['Rachel', ' Very nice touch.'], ['Phoebe', "" (in voice, on phone) 'Okay, go ahead.' (in normal voice on phone) Um, hi Annie. (listens) Fantastic! (to Joey) You got it. (on phone) Oh, okay, um, 'Will he work for scale?' you ask me. Well, I don't know about that, (Joey clears his throat to signify yes) except that I do and he will. Great, oh you are such a sweetheart. I would love to have lunch with you, how about we have lunch next....(hangs up phone) Op, went through a tunnel.""], ['Rachel', ' Unbelievable.']]"	Rachel	True	[0, 1, 0, 0, 1, 0, 1]	 Oh, it's your audition from this morning. Can I use the phone again? Sure Pheebs, you know, that's what it's there for, emergencies and pretend agents. Come on baby, come on! (on phone, in 'Katelynn's' voice) 'Hi, I have Phoebe Buffay returning a page. Okay, well, um, she's in her car I'll have to patch you through.' Very nice touch. (in voice, on phone) 'Okay, go ahead.' (in normal voice on phone) Um, hi Annie. (listens) Fantastic! (to Joey) You got it. (on phone) Oh, okay, um, 'Will he work for scale?' you ask me. Well, I don't know about that, (Joey clears his throat to signify yes) except that I do and he will. Great, oh you are such a sweetheart. I would love to have lunch with you, how about we have lunch next....(hangs up phone) Op, went through a tunnel. Unbelievable.	  Sure Pheebs, you know, that's what it's there for, emergencies and pretend agents.  Very nice touch.  Unbelievable.	  Oh, it's your audition from this morning. Can I use the phone again?  Come on baby, come on!  (on phone, in 'Katelynn's' voice) 'Hi, I have Phoebe Buffay returning a page. Okay, well, um, she's in her car I'll have to patch you through.'  (in voice, on phone) 'Okay, go ahead.' (in normal voice on phone) Um, hi Annie. (listens) Fantastic! (to Joey) You got it. (on phone) Oh, okay, um, 'Will he work for scale?' you ask me. Well, I don't know about that, (Joey clears his throat to signify yes) except that I do and he will. Great, oh you are such a sweetheart. I would love to have lunch with you, how about we have lunch next....(hangs up phone) Op, went through a tunnel.	1	neutral	['neutral', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral']
9	9	02_e04_c09(0) 	"[['Monica Geller', ' You know, it still smells like monkey in there.'], ['Julie', ' That saves us a conversation.'], ['Chandler Bing', "" Well, listen, this has been great but I'm officially wiped.""], ['Joey Tribbiani', "" Me too, we should get goin'.""], ['Rachel Green', "" No, no, I mean, no, c'mon you guys, I mean, c'mon look it's only eleven thirty. Let's just talk, we never just hang out and talk anymore.""], ['Monica Geller', "" Rachel, that's all we do.""], ['Rachel Green', "" Maybe that's all we do, what about Julie?""], ['Julie', ' What about Julie?'], ['Rachel Green', "" Well, you have been in our lives for nearly two months now and we don't really know you. I mean, who is Julie? I mean, what do you like, what don't you like? We wanna hear everything.""], ['Julie', ' Well, that could take a while.'], ['Rachel Green', ' So. I mean, who here does not have the time to get to know Julie?'], ['Chandler Bing', ' I got the time to get to know Julie.']]"	Rachel Green	False	[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]	 You know, it still smells like monkey in there. That saves us a conversation. Well, listen, this has been great but I'm officially wiped. Me too, we should get goin'. No, no, I mean, no, c'mon you guys, I mean, c'mon look it's only eleven thirty. Let's just talk, we never just hang out and talk anymore. Rachel, that's all we do. Maybe that's all we do, what about Julie? What about Julie? Well, you have been in our lives for nearly two months now and we don't really know you. I mean, who is Julie? I mean, what do you like, what don't you like? We wanna hear everything. Well, that could take a while. So. I mean, who here does not have the time to get to know Julie? I got the time to get to know Julie.	  No, no, I mean, no, c'mon you guys, I mean, c'mon look it's only eleven thirty. Let's just talk, we never just hang out and talk anymore.  Maybe that's all we do, what about Julie?  Well, you have been in our lives for nearly two months now and we don't really know you. I mean, who is Julie? I mean, what do you like, what don't you like? We wanna hear everything.  So. I mean, who here does not have the time to get to know Julie?	  You know, it still smells like monkey in there.  That saves us a conversation.  Well, listen, this has been great but I'm officially wiped.  Me too, we should get goin'.  Rachel, that's all we do.  What about Julie?  Well, that could take a while.  I got the time to get to know Julie.	0	joy	['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']
