	Speaker_1	Speaker_2	Utterance_1	Utterance_2	Utterance_3	Emotion_1	Emotion_2	Emotion_3	dialog_state	labels	utterance	context	sent	emo_label	raw_text
0	Chandler	The Interviewer	also I was the point person on my company s transition from the KL-5 to GR-6 system.	You must ve had your hands full.	That I did. That I did.	neutral	neutral	neutral	[1, 0, 1]	0	also I was the point person on my company s transition from the KL-5 to GR-6 system. That I did. That I did.	You must ve had your hands full.	also I was the point person on my company s transition from the KL-5 to GR-6 system. You must ve had your hands full. That I did. That I did.	['neutral', 'neutral', 'neutral']	[['Chandler', 'also I was the point person on my company s transition from the KL-5 to GR-6 system.'], ['The Interviewer', 'You must ve had your hands full.'], ['Chandler', 'That I did. That I did.']]
1	Chandler	The Interviewer	That I did. That I did.	So let s talk a little bit about your duties.	My duties?  All right.	neutral	neutral	surprise	[1, 0, 1]	0	That I did. That I did. My duties?  All right.	So let s talk a little bit about your duties.	That I did. That I did. So let s talk a little bit about your duties. My duties?  All right.	['neutral', 'neutral', 'surprise']	[['Chandler', 'That I did. That I did.'], ['The Interviewer', 'So let s talk a little bit about your duties.'], ['Chandler', 'My duties?  All right.']]
2	Chandler	The Interviewer	My duties?  All right.	Now you ll be heading a whole division, so you ll have a lot of duties.	I see.	surprise	neutral	neutral	[1, 0, 1]	0	My duties?  All right. I see.	Now you ll be heading a whole division, so you ll have a lot of duties.	My duties?  All right. Now you ll be heading a whole division, so you ll have a lot of duties. I see.	['surprise', 'neutral', 'neutral']	[['Chandler', 'My duties?  All right.'], ['The Interviewer', 'Now you ll be heading a whole division, so you ll have a lot of duties.'], ['Chandler', 'I see.']]
3	Chandler	The Interviewer	I see.	But there ll be perhaps 30 people under you so you can dump a certain amount on them.	Good to know.	neutral	neutral	neutral	[1, 0, 1]	0	I see. Good to know.	But there ll be perhaps 30 people under you so you can dump a certain amount on them.	I see. But there ll be perhaps 30 people under you so you can dump a certain amount on them. Good to know.	['neutral', 'neutral', 'neutral']	[['Chandler', 'I see.'], ['The Interviewer', 'But there ll be perhaps 30 people under you so you can dump a certain amount on them.'], ['Chandler', 'Good to know.']]
4	Chandler	The Interviewer	Good to know.	We can go into detail	No don t I beg of you!	neutral	neutral	fear	[1, 0, 1]	0	Good to know. No don t I beg of you!	We can go into detail	Good to know. We can go into detail No don t I beg of you!	['neutral', 'neutral', 'fear']	[['Chandler', 'Good to know.'], ['The Interviewer', 'We can go into detail'], ['Chandler', 'No don t I beg of you!']]
5	Chandler	The Interviewer	No don t I beg of you!	All right then, we ll have a definite answer for you on Monday, but I think I can say with some confidence, you ll fit in well here.	Really?!	fear	neutral	surprise	[1, 0, 1]	0	No don t I beg of you! Really?!	All right then, we ll have a definite answer for you on Monday, but I think I can say with some confidence, you ll fit in well here.	No don t I beg of you! All right then, we ll have a definite answer for you on Monday, but I think I can say with some confidence, you ll fit in well here. Really?!	['fear', 'neutral', 'surprise']	[['Chandler', 'No don t I beg of you!'], ['The Interviewer', 'All right then, we ll have a definite answer for you on Monday, but I think I can say with some confidence, you ll fit in well here.'], ['Chandler', 'Really?!']]
6	Joey	Rachel	But then who? The waitress I went out with last month?	You know? Forget it!	No-no-no-no, no! Who, who were you talking about?	surprise	sadness	surprise	[1, 0, 1]	1	But then who? The waitress I went out with last month? No-no-no-no, no! Who, who were you talking about?	You know? Forget it!	But then who? The waitress I went out with last month? You know? Forget it! No-no-no-no, no! Who, who were you talking about?	['surprise', 'sadness', 'surprise']	[['Joey', 'But then who? The waitress I went out with last month?'], ['Rachel', 'You know? Forget it!'], ['Joey', 'No-no-no-no, no! Who, who were you talking about?']]
7	Rachel	Joey	You know? Forget it!	No-no-no-no, no! Who, who were you talking about?	No, I-I-I-I don't, I actually don't know	sadness	surprise	fear	[1, 0, 1]	0	You know? Forget it! No, I-I-I-I don't, I actually don't know	No-no-no-no, no! Who, who were you talking about?	You know? Forget it! No-no-no-no, no! Who, who were you talking about? No, I-I-I-I don't, I actually don't know	['sadness', 'surprise', 'fear']	"[['Rachel', 'You know? Forget it!'], ['Joey', 'No-no-no-no, no! Who, who were you talking about?'], ['Rachel', ""No, I-I-I-I don't, I actually don't know""]]"
8	Joey	Rachel	No-no-no-no, no! Who, who were you talking about?	No, I-I-I-I don't, I actually don't know	Ok!	surprise	fear	neutral	[1, 0, 1]	1	No-no-no-no, no! Who, who were you talking about? Ok!	No, I-I-I-I don't, I actually don't know	No-no-no-no, no! Who, who were you talking about? No, I-I-I-I don't, I actually don't know Ok!	['surprise', 'fear', 'neutral']	"[['Joey', 'No-no-no-no, no! Who, who were you talking about?'], ['Rachel', ""No, I-I-I-I don't, I actually don't know""], ['Joey', 'Ok!']]"
9	Chandler	Monica	Hey, Mon.	Hey-hey-hey. You wanna hear something that sucks.	Do I ever.	neutral	neutral	joy	[1, 0, 1]	0	Hey, Mon. Do I ever.	Hey-hey-hey. You wanna hear something that sucks.	Hey, Mon. Hey-hey-hey. You wanna hear something that sucks. Do I ever.	['neutral', 'neutral', 'joy']	[['Chandler', 'Hey, Mon.'], ['Monica', 'Hey-hey-hey. You wanna hear something that sucks.'], ['Chandler', 'Do I ever.']]
10	Monica	Chandler	Hey-hey-hey. You wanna hear something that sucks.	Do I ever.	Chris says they re closing down the bar.	neutral	joy	sadness	[1, 0, 1]	0	Hey-hey-hey. You wanna hear something that sucks. Chris says they re closing down the bar.	Do I ever.	Hey-hey-hey. You wanna hear something that sucks. Do I ever. Chris says they re closing down the bar.	['neutral', 'joy', 'sadness']	[['Monica', 'Hey-hey-hey. You wanna hear something that sucks.'], ['Chandler', 'Do I ever.'], ['Monica', 'Chris says they re closing down the bar.']]
11	Chandler	Monica	Do I ever.	Chris says they re closing down the bar.	No way!	joy	sadness	surprise	[1, 0, 1]	0	Do I ever. No way!	Chris says they re closing down the bar.	Do I ever. Chris says they re closing down the bar. No way!	['joy', 'sadness', 'surprise']	[['Chandler', 'Do I ever.'], ['Monica', 'Chris says they re closing down the bar.'], ['Chandler', 'No way!']]
12	Monica	Chandler	Chris says they re closing down the bar.	No way!	Yeah, apparently they re turning it into some kinda coffee place.	sadness	surprise	neutral	[1, 0, 1]	0	Chris says they re closing down the bar. Yeah, apparently they re turning it into some kinda coffee place.	No way!	Chris says they re closing down the bar. No way! Yeah, apparently they re turning it into some kinda coffee place.	['sadness', 'surprise', 'neutral']	[['Monica', 'Chris says they re closing down the bar.'], ['Chandler', 'No way!'], ['Monica', 'Yeah, apparently they re turning it into some kinda coffee place.']]
13	Chandler	Monica	No way!	Yeah, apparently they re turning it into some kinda coffee place.	Just coffee! Where are we gonna hang out now?	surprise	neutral	disgust	[1, 0, 1]	0	No way! Just coffee! Where are we gonna hang out now?	Yeah, apparently they re turning it into some kinda coffee place.	No way! Yeah, apparently they re turning it into some kinda coffee place. Just coffee! Where are we gonna hang out now?	['surprise', 'neutral', 'disgust']	[['Chandler', 'No way!'], ['Monica', 'Yeah, apparently they re turning it into some kinda coffee place.'], ['Chandler', 'Just coffee! Where are we gonna hang out now?']]
14	Monica	Chandler	Yeah, apparently they re turning it into some kinda coffee place.	Just coffee! Where are we gonna hang out now?	Got me.	neutral	disgust	sadness	[1, 0, 1]	0	Yeah, apparently they re turning it into some kinda coffee place. Got me.	Just coffee! Where are we gonna hang out now?	Yeah, apparently they re turning it into some kinda coffee place. Just coffee! Where are we gonna hang out now? Got me.	['neutral', 'disgust', 'sadness']	[['Monica', 'Yeah, apparently they re turning it into some kinda coffee place.'], ['Chandler', 'Just coffee! Where are we gonna hang out now?'], ['Monica', 'Got me.']]
15	Chandler	Monica	Just coffee! Where are we gonna hang out now?	Got me.	Can I get a beer.	disgust	sadness	neutral	[1, 0, 1]	0	Just coffee! Where are we gonna hang out now? Can I get a beer.	Got me.	Just coffee! Where are we gonna hang out now? Got me. Can I get a beer.	['disgust', 'sadness', 'neutral']	[['Chandler', 'Just coffee! Where are we gonna hang out now?'], ['Monica', 'Got me.'], ['Chandler', 'Can I get a beer.']]
16	Monica	Chandler	Got me.	Can I get a beer.	Hey, did you pick a roommate?	sadness	neutral	neutral	[1, 0, 1]	0	Got me. Hey, did you pick a roommate?	Can I get a beer.	Got me. Can I get a beer. Hey, did you pick a roommate?	['sadness', 'neutral', 'neutral']	[['Monica', 'Got me.'], ['Chandler', 'Can I get a beer.'], ['Monica', 'Hey, did you pick a roommate?']]
17	Chandler	Monica	Can I get a beer.	Hey, did you pick a roommate?	You betcha!	neutral	neutral	joy	[1, 0, 1]	0	Can I get a beer. You betcha!	Hey, did you pick a roommate?	Can I get a beer. Hey, did you pick a roommate? You betcha!	['neutral', 'neutral', 'joy']	[['Chandler', 'Can I get a beer.'], ['Monica', 'Hey, did you pick a roommate?'], ['Chandler', 'You betcha!']]
18	Monica	Chandler	Hey, did you pick a roommate?	You betcha!	Is it the Italian guy?	neutral	joy	neutral	[1, 0, 1]	0	Hey, did you pick a roommate? Is it the Italian guy?	You betcha!	Hey, did you pick a roommate? You betcha! Is it the Italian guy?	['neutral', 'joy', 'neutral']	[['Monica', 'Hey, did you pick a roommate?'], ['Chandler', 'You betcha!'], ['Monica', 'Is it the Italian guy?']]
19	Chandler	Monica	You betcha!	Is it the Italian guy?	Um-mm, yeah right!	joy	neutral	joy	[1, 0, 1]	0	You betcha! Um-mm, yeah right!	Is it the Italian guy?	You betcha! Is it the Italian guy? Um-mm, yeah right!	['joy', 'neutral', 'joy']	[['Chandler', 'You betcha!'], ['Monica', 'Is it the Italian guy?'], ['Chandler', 'Um-mm, yeah right!']]
20	Phoebe	Chandler	Oh my God, oh my God! Poor Monica!	What, what, what?!	What?!	surprise	surprise	surprise	[1, 0, 1]	0	Oh my God, oh my God! Poor Monica! What?!	What, what, what?!	Oh my God, oh my God! Poor Monica! What, what, what?! What?!	['surprise', 'surprise', 'surprise']	[['Phoebe', 'Oh my God, oh my God! Poor Monica!'], ['Chandler', 'What, what, what?!'], ['Phoebe', 'What?!']]
21	Rachel	Ross	Hey!	Hi!	What are you doing here?	surprise	joy	surprise	[1, 0, 1]	0	Hey! What are you doing here?	Hi!	Hey! Hi! What are you doing here?	['surprise', 'joy', 'surprise']	[['Rachel', 'Hey!'], ['Ross', 'Hi!'], ['Rachel', 'What are you doing here?']]
